chapter,verse,question,answer
1,33,"When will he reign over the house of Jacob","Forever"
1,33,"Of what will there be no end","His kingdom"
1,34,"Who said","Mary"
1,34,"To whom did Mary say","The angel"
1,34,"What did Mary say","“How will this be, since I am a virgin”"
1,35,"Who answered","The angel"
1,35,"What did the angel answer","“The Holy Spirit will come upon you, and the power of the Most High will overshadow you; therefore the child to be born will be called holy - the Son of God”"
1,35,"Who will come upon you","The Holy Spirit"
1,35,"What will overshadow you","The power of the Most High"
1,35,"What will the child to be born be called","Holy OR The Son of God"
1,35,"Who will be called holy--the Son of God","The child to be born"
1,36,"Who has also conceived [OR With whom is this the sixth month]","Your relative Elizabeth OR Her who was called barren"
1,36,"In what has your relative Elizabeth conceived (also)","Her old age"
1,36,"Whom has your relative Elizabeth conceived (also)","(A) Son"
1,36,"What is this [OR When is this]","The sixth month (with her who was called barren)"
1,37,"What will be impossible with God","Nothing"
1,37,"With whom will nothing be impossible","God"
1,38,"Who said","Mary"
1,38,"What did Mary say","“Behold, I am the servant of the Lord; let it be to me according to your word”"
1,38,"Who am I","The servant of the Lord"
1,38,"Of whom am I the servant","The Lord"
1,38,"According to what let it be to me","Your word"
1,38,"Who departed from her","The angel"
1,39,"In when did Mary arise and go","Those days"
1,39,"Who arose and went","Mary"
1,39,"With what did Mary go (arise and)","Haste"
1,39,"Where did Mary go (arise and)","Into the hill country, to a town in Judah"
1,40,"What did she enter","The house of Zechariah"
1,40,"Whom did she greet","Elizabeth"
1,41,"When did the baby leap in her womb","When Elizabeth heard the greeting of Mary"
1,41,"Who heard the greeting of Mary [OR Who was filled with the Holy Spirit]","Elizabeth"
1,41,"What did Elizabeth hear","The greeting of Mary"
1,41,"Of whom did Elizabeth hear the greeting","Mary"
1,41,"Who leaped","The baby"
1,41,"In what did the baby leap","Her womb"
1,41,"With whom was Elizabeth filled","The Holy Spirit"
1,41,"What was Elizabeth","Filled"
1,42,"With what did she exclaim","(A) Loud cry"
1,42,"What did she exclaim","“Blessed are you among women, and blessed is the fruit of your womb”"
1,42,"What are you [OR What is the fruit of your womb]","Blessed"
1,42,"Among whom are you blessed","Women"
1,44,"When did the baby in my womb leap for joy","When the sound of your greeting came to my ears"
1,44,"What came to my ears","The sound of your greeting"
1,44,"To what did the sound of your greeting come","My ears"
1,44,"Who leaped for joy","The baby in my womb"
1,44,"For what did the baby in my womb leap","Joy"
1,45,"What is she who believed that there would be a fulfillment","Blessed"
1,45,"Who is blessed","She who believed that there would be a fulfillment"
1,45,"Of what would there be a fulfillment","What was spoken to her from the Lord"
1,46,"Who said","Mary"
1,46,"What did Mary say","“My soul magnifies the Lord”"
1,46,"What magnifies the Lord","My soul"
1,46,"Whom does my soul magnify","The Lord"
1,47,"What rejoices (in God my Savior)","My spirit"
1,47,"In whom does my spirit rejoice","God my Savior"
1,48,"On what has he looked","The humble estate of his servant"
1,48,"When will all generations call me blessed","From now on"
1,48,"Who will call me blessed","All generations"
1,48,"What will all generations call me","Blessed"
1,49,"Who has done great things for me","He who is mighty"
1,49,"What has he who is mighty done","Great things for me"
1,49,"What is holy","His name"
1,50,"What is for those who fear him","His mercy"
1,50,"For whom is his mercy","Those who fear him from generation to generation"
1,51,"What has he shown","Strength"
1,51,"With what has he shown strength","His arm"
1,51,"Whom has he scattered","The proud"
1,51,"In what has he scattered the proud","The thoughts of their hearts"
1,52,"Whom has he brought down","The mighty"
1,52,"From what has he brought down the mighty","Their thrones"
1,52,"Whom has he exalted","Those of humble estate"
1,53,"Whom has he filled (with good things)","The hungry"
1,53,"With what has he filled the hungry","Good things"
1,53,"Whom has he sent away empty","The rich"
1,53,"Where has he sent the rich (empty)","Away"
1,54,"Whom has he helped","His servant Israel"
1,54,"In what has he helped his servant Israel","Remembrance of his mercy"
1,55,"To whom did he speak","Our fathers OR Abraham and his offspring forever"
1,56,"Who remained with her about three months [OR Who returned to her home]","Mary"
1,56,"About when did Mary remain with her","Three months"
1,56,"To where did Mary return","Her home"
1,57,"What came","The time (for Elizabeth to give birth)"
1,57,"For whom did the time come (to give birth) [OR For what did the time come]","Elizabeth (to give birth)"
1,57,"Whom did she bear","(A) Son"
1,58,"Who heard that the Lord had shown great mercy to her","Her neighbors and relatives"
1,58,"What did her neighbors and relatives hear","That the Lord had shown great mercy to her"
1,58,"Who had shown great mercy to her","The Lord"
1,58,"What had the Lord shown","Great mercy (to her)"
1,59,"On when did they come","The eighth day"
1,59,"Why did they come","To circumcise the child"
1,59,"Whom did they come to circumcise","The child"
1,59,"What would they have called him","Zechariah"
1,59,"After whom would they have called him Zechariah","His father"
1,60,"Who answered","His mother"
1,60,"What did his mother answer","“No; he shall be called John”"
1,60,"What shall he be called","John"
1,61,"What did they say","“None of your relatives is called by this name”"
1,61,"Who is called by this name","None of your relatives"
1,61,"By what is none of your relatives called","This name"
1,62,"What did they make","Signs"
1,62,"To whom did they make signs","His father"
1,62,"Inquiring what did they make signs to his father","What he wanted him to be called"
1,63,"For what did he ask","(A) Writing tablet"
1,63,"What did he write","“His name is John”"
1,63,"What is his name","John"
1,63,"Who wondered","They all"
1,64,"How was his mouth opened [OR When was his mouth opened OR How was his tongue loosed OR When was his tongue loosed]","Immediately"
1,64,"What was opened","His mouth"
1,64,"What was loosed","His tongue"
1,64,"Blessing whom did he speak","God"
1,65,"What came on all their neighbors","Fear"
1,65,"On whom did fear come","All their neighbors"
1,65,"What were talked about","All these things"
1,65,"Through where were all these things talked about","All the hill country of Judea"
1,66,"Who laid them up in their hearts","All who heard them"
1,66,"In what did all who heard them lay them up","Their hearts"
1,66,"Saying what did all who heard them lay them up","“What then will this child be”"
1,66,"What was with him","The hand of the Lord"
1,67,"Who was filled with the Holy Spirit [OR Who prophesied]","His father Zechariah"
1,67,"What was his father Zechariah","Filled with the Holy Spirit"
1,67,"With whom was his father Zechariah filled","The Holy Spirit"
1,68,"Who be blessed","The Lord God of Israel"
1,68,"Why be the Lord God of Israel blessed","For he has visited and redeemed his people"
1,68,"Whom has he visited [ Whom has he redeemed]","His people"
1,70,"By what did he speak","The mouth of his holy prophets"
1,71,"What should we be","Saved"
1,71,"From whom should we be saved","Our enemies"
1,71,"From what should we be saved","The hand of all who hate us"
1,73,"To whom did he swear (the oath)","Our father Abraham"
1,73,"What did he swear","The oath"
1,74,"Without what might we serve him","Fear"
1,74,"Being what might we serve him (without fear)","Delivered from the hand of our enemies"
1,76,"Who will be called the prophet of the Most High","You, child"
1,76,"What will you be called","The prophet of the Most High"
1,76,"Of whom will you be called the prophet","The Most High"
1,76,"Why will you be called the prophet of the Most High","For you will go before the Lord to prepare his ways"
1,76,"Before whom will you go","The Lord"
1,76,"Why will you go before the Lord","To prepare his ways"
1,78,"What shall visit us","The sunrise"
1,78,"From where where shall the sunrise visit us","On high"
1,79,"In what do those sit","Darkness OR The shadow of death"
1,80,"Who grew and became strong in spirit (was in the wilderness)","The child"
1,80,"What did the child become","Strong"
1,80,"In what did the child become strong","Spirit"
1,80,"In where was he","The wilderness"
1,80,"Until when was he in the wilderness","The day of his public appearance to Israel"
2,1,"In when did a decree go out","Those days"
2,1,"What went out","(A) Decree OR That all the world should be registered"
2,1,"From whom did a decree go out","Caesar Augustus"
2,1,"Who should be registered","All the world"
2,2,"What was this","The first registration when Quirinius was governor of Syria"
2,2,"When was this the first registration","When Quirinius was governor of Syria"
2,2,"Who was governor of Syria","Quirinius"
2,2,"Of what was Quirinius governor [OR Of where was Quirinius governor]","Syria"
2,3,"Who went to be registered","All OR Each"
2,3,"Why did all go","To be registered"
2,3,"To where did each go","His own town"
2,4,"Who went up from Galilee (also)","Joseph"
2,4,"From where did Joseph go up","Galilee OR The town of Nazareth"
2,4,"To where did Joseph go up","Judea OR The city of David OR Bethlehem"
2,4,"Why did Joseph go up (to the city of David)","Because he was of the house and lineage of David"
2,4,"Of what was he","The house and lineage of David"
2,5,"Who was with child","Mary (his betrothed)"
2,6,"When did the time come for her to give birth","While they were there"
2,6,"What came","The time (for her to give birth)"
2,7,"To whom did she give birth [OR whom did she wrap in swaddling cloths and lay in a manger]","Her firstborn son"
2,7,"In what did she wrap him","Swaddling cloths"
2,7,"In what did she lay him","(A) Manger"
2,7,"Why did she lay him in a manger","Because there was no place for them in the inn"
2,7,"What was there","No place for them in the inn"
2,7,"In where was there no place for them","The inn"
2,8,"In where were there shepherds","The same region OR Out in the field"
2,8,"Who were there [OR Who were keeping watch over their flock]","Shepherds"
2,8,"Over what were there shepherds keeping watch","Their flock"
2,8,"By what were there shepherds keeping watch","Night"
2,9,"Who appeared (to them)","(An)angel of the Lord"
2,9,"What shone around them","The glory of the Lord"
2,9,"With what were they filled","Great fear"
2,10,"Who said","The angel"
2,10,"What did the angel say","Fear not, for behold, I bring you good news of great joy that will be for all the people;"
2,10,"Why fear not","For behold, I bring you good news"
2,10,"What do I bring you","Good news"
2,10,"For whom will good news be","All the people"
2,11,"When is a Savior born","This day"
2,11,"In where is a Savior born","The city of David"
2,11,"Who is born [OR Who is Christ the Lord]","(A) Savior"
2,12,"What will be a sign for you","(This), You will find a baby wrapped in swaddling cloths and lying in a manger"
2,12,"Whom will you find","(A) Baby"
2,12,"In what will you find a baby (wrapped, lying)","Swaddling cloths OR A manger"
2,13,"How was a multitude of the heavenly host with the angel","Suddenly"
2,13,"With whom was a multitude of the heavenly host","The angel"
2,13,"Who was with the angel","(A) Multitude of the heavenly host"
2,15,"When did the shepherds say to one another","When the angels went away from them into heaven"
2,15,"Who went away from them","The angels"
2,15,"Where did the angels go","Away from them OR Into heaven"
2,15,"To whom did the shepherds say","One another"
2,15,"Who said to one another","The shepherds"
2,15,"Over to where let us go","Bethlehem"
2,15,"What did the shepherds say (to one another)","Let us go over to Bethlehem and see this thing that has happened, which the Lord has made known to us"
2,15,"What let us see [OR What has the Lord made known to us OR What has happened]","This thing"
2,15,"Who has made known to us","The Lord"
2,16,"With what did they go","Haste"
2,16,"Whom did they find","Mary and Joseph, and the baby"
2,17,"When did they make known the saying that had been told them","When they saw it"
2,17,"What did they make known [OR What had been told them]","The saying that had been told them"
2,18,"Who wondered at what the shepherds told them","All who heard it"
2,18,"At what did all who heard it wonder","What the shepherds told them"
2,19,"Who treasured up all these things","Mary"
2,19,"What did Mary treasure up","All these things"
2,20,"Who returned","The shepherds"
2,20,"How did the shepherds return","Glorifying and praising God"
2,20,"For what did the shepherds return glorifying and praising God","All they had heard and seen"
2,21,"When was he called Jesus","When he was circumcised OR At the end of eight days"
2,21,"What was he","Circumcised OR Called Jesus OR Conceived"
2,22,"What came","The time (for their purification)"
2,22,"For what did the time come","Their purification"
2,22,"According to what did the time come for their purification","The Law of Moses"
2,22,"Up to where did they bring him","Jerusalem"
2,22,"Why did they bring him up to Jerusalem","To present him to the Lord"
2,22,"To whom did they bring him up to Jerusalem to present him","The Lord"
2,23,"What is it written","“Every male who first opens the womb shall be called holy to the Lord”"
2,23,"In what is it written","The Law of the Lord"
2,23,"Who shall be called holy to the Lord","Every male who first opens the womb"
2,23,"What shall every male who first opens the womb be called","Holy to the Lord"
2,23,"To whom shall every male who first opens the womb be called holy","The Lord"
2,25,"Who was there in Jerusalem (whose name was Simeon) [OR Who was righteous and devout]","(A) Man OR This man"
2,25,"In where was there a man","Jerusalem"
2,25,"What was this man","Righteous and devout OR Waiting for the consolation of Israel"
2,25,"Who was upon him","The Holy Spirit"
2,26,"What had it been","Revealed to him by the Holy Spirit that he would not see death before he had seen the Lord’s Christ"
2,26,"By whom had it been revealed (to him)","The Holy Spirit"
2,26,"What would he not see","Death"
2,26,"Before what would he not see death","He had seen the Lord’s Christ"
2,27,"In whom did he come into the temple","The Spirit"
2,27,"Into where did he come in the Spirit","The temple"
2,27,"Who brought in the child Jesus","The parents"
2,27,"Whom did the parents bring in","The child Jesus"
2,27,"Why did the parents bring in the child Jesus","To do for him according to the custom of the Law"
2,28,"In what did he take him up","His arms"
2,28,"Whom did he bless","God"
2,29,"Whom are you letting depart in peace (now)","Your servant"
2,29,"In what are you letting your servant depart (now)","Peace"
2,29,"According to what are you letting your servant depart (now)","Your word"
2,30,"What have seen your salvation","My eyes"
2,31,"In what have you prepared","The presence of all peoples"
2,33,"Who marveled","His father and his mother"
2,33,"At what did his father and his mother marvel","What was said about him"
2,34,"Who blessed them [OR Who said]","Simeon"
2,34,"To whom did Simeon say","Mary his mother"
2,34,"What did Simeon say","“Behold, this child is appointed for the fall and rising of many in Israel, and for a sign that is opposed”"
2,34,"Who is appointed","This child"
2,34,"For what is this child appointed","The fall and rising of many in Israel OR A sign that is opposed"
2,35,"What will pierce through your own soul also","(A) Sword"
2,35,"Through what will a sword pierce","Your own soul"
2,35,"What may be revealed","Thoughts from many hearts"
2,35,"From what may thoughts be revealed","Many hearts"
2,36,"Who was there","(A) Prophetess, Anna, the daughter of Phanuel"
2,36,"What was she","Advanced in years OR A virgin"
2,36,"In what was she advanced","Years"
2,37,"From where did she not depart","The temple"
2,37,"What was she","Eighty-four (A widow)"
2,38,"What did she begin","To give thanks OR To speak of him to all who were waiting for the redemption of Jerusalem"
2,38,"To whom did she begin to give thanks","God"
2,38,"To whom did she begin to speak of him","All who were waiting for the redemption of Jerusalem"
2,39,"When did they return into Galilee","When they had performed everything according to the Law of the Lord"
2,39,"According to what had they performed everything","The Law of the Lord"
2,39,"Into where did they return [OR To where did they return]","Galilee OR Their own town of Nazareth"
2,40,"Who grew and became strong","The child"
2,40,"What did the child become","Strong"
2,40,"What was upon him","The favor of God"
2,41,"Who went to Jerusalem every year","His parents"
2,41,"To where did his parents go every year","Jerusalem"
2,41,"When did his parents go to Jerusalem","Every year OR At the Feast of the Passover"
2,42,"When did they go up","When he was twelve years old"
2,42,"What was he","Twelve years old"
2,42,"According to what did they go up","Custom"
2,43,"When did the boy Jesus stay behind (in Jerusalem) [OR As what did the boy Jesus stay behind]","When the feast was ended OR (As) They were returning"
2,43,"What was ended","The feast"
2,43,"Who stayed behind","The boy Jesus"
2,43,"In where did the boy Jesus stay behind","Jerusalem"
2,43,"Who did not know it","His parents"
2,44,"Supposing what did they go a day’s journey","Him to be in the group"
2,44,"Where did they go","(A) Day’s journey"
2,44,"What did they begin","To search for him"
2,44,"Among whom did they begin to search ","Their relatives and acquaintances"
2,45,"When did they return to Jerusalem","When they did not find him"
2,45,"To where did they return","Jerusalem"
2,46,"After when did they find him (in the temple)","Three days"
2,46,"In where did they find him","The temple"
2,46,"Among whom did they find him sitting","The teachers"
2,47,"Who were amazed","All who heard him"
2,47,"What were all who heard him","Amazed"
2,47,"At what were all who heard him amazed","His understanding and his answers"
2,48,"When were they astonished","When his parents saw him"
2,48,"Who saw him (were astonished)","His parents"
2,48,"What were they","Astonished"
2,48,"Who said","His mother"
2,48,"What did his mother say","“Son, why have you treated us so; behold, your father and I have been searching for you in great distress”"
2,48,"Who have been searching for you","Your father and I"
2,48,"In what have your father and I been searching for you","Great distress"
2,49,"What did he say","“Why were you looking for me; did you not know that I must be in my Father’s house”"
2,50,"What did they not understand","The saying that he spoke to them"
2,51,"To where did he come","Nazareth"
2,51,"What was he","Submissive to them"
2,51,"Who treasured up all these things in her heart","His mother"
2,51,"What did his mother treasure up","All these things"
2,51,"In what did his mother treasure up all these things","Her heart"
2,52,"Who increased in wisdom and stature and in favor with God and man","Jesus"
2,52,"In what did Jesus increase","Wisdom and stature (and in) favor with God and man"
2,52,"With whom did Jesus increase in favor","God and man"
3,2,"When did the word of God come to John","During the high priesthood of Annas and Caiaphas"
3,2,"What came to John","The word of God"
3,2,"To whom did the word of God come","John the son of Zechariah"
3,2,"In where did the word of God come to John","The wilderness"
3,3,"Into where did he go","All the region around the Jordan"
3,3,"Proclaiming what did he go into all the region around the Jordan","(A) Baptism of repentance for the forgiveness of sins"
3,4,"What is it written","“The voice of one crying in the wilderness, prepare the way of the Lord, make his paths straight”"
3,4,"In what is it written","The book of the words of Isaiah the prophet"
3,4,"Prepare what","The way of the Lord"
3,4,"Make what straight","his paths"
3,5,"What shall be filled","Every valley"
3,5,"What shall be made low","Every mountain and hill"
3,5,"What shall become straight","The crooked"
3,5,"What shall become level ways","The rough places"
3,6,"Who shall see the salvation of God","All flesh"
3,6,"What shall all flesh see","The salvation of God"
3,7,"To whom did he say [OR Who came out to be baptized]","The crowds"
3,7,"What did he say","“You brood of vipers! Who warned you to flee from the wrath to come”"
3,8,"Bear what","Fruits"
3,8,"Do not what","Begin to say to yourselves, “We have Abraham as our father’"
3,8,"What do not begin to say","‘We have Abraham as our father’"
3,8,"What do I tell you","God is able from these stones to raise up children for Abraham"
3,8,"Who is able to raise up children for Abraham","God"
3,8,"Whom is God able to raise up (from these stones)","Children for Abraham"
3,8,"For whom is God able to raise up children (from these stones)","Abraham"
3,8,"From what is God able to raise up children for Abraham","These stones"
3,9,"When is the axe laid (to the root of the trees)","Even now"
3,9,"What is laid (to the root of the trees)","The axe"
3,9,"To what is the axe laid","The root of the trees"
3,9,"What is cut down and thrown into the fire","Every tree (therefore) that does not bear good fruit"
3,9,"Into what is every tree that does not bear good fruit thrown","The fire"
3,10,"Who asked","The crowds"
3,10,"What did the crowds ask","“What then shall we do”"
3,11,"What did he answer","“Whoever has two tunics is to share with him who has none, and whoever has food is to do likewise”"
3,11,"Who is to share with him who has none","Whoever has two tunics"
3,11,"Who is to do likewise","Whoever has food"
3,11,"With whom is whoever has two tunics to share","Him who has none"
3,12,"Who also came","Tax collectors"
3,12,"Why did tax collectors also come","To be baptized"
3,12,"What did tax collectors say","“Teacher, what shall we do”"
3,13,"What did he say","“Collect no more than you are authorized to do”"
3,13,"Collect what","No more than you are authorized to do"
3,14,"Who asked","Soldiers"
3,14,"What did soldiers ask","“And we, what shall we do”"
3,14,"What did he say","“Do not extort money from anyone by threats or by false accusation, and be content with your wages”"
3,14,"Do not what","Extort money"
3,14,"From whom do not extort money","Anyone"
3,14,"By what do not extort money from anyone","Threats OR False accusation"
3,14,"Be what","Content with your wages"
3,14,"With what be content","Your wages"
3,15,"Who were in expectation [OR Who were questioning in their hearts]","The people OR All"
3,15,"What were the people [OR What were all]","In expectation OR Questioning in their hearts concerning John"
3,15,"In what were all questioning","Their hearts"
3,15,"Concerning whom were all questioning","John"
3,16,"Who answered","John"
3,16,"What did John answer (saying)","“I baptize you with water, but he who is mightier than I is coming, the strap of whose sandals I am not worthy to untie”"
3,16,"With what do I baptize you","Water"
3,16,"Who is coming","He who is mightier than I"
3,16,"With whom will he baptize you","The Holy Spirit"
3,16,"With what will he baptize you","Fire"
3,17,"What is in his hand","His winnowing fork"
3,17,"In what is his winnowing fork","His hand"
3,17,"Why is his winnowing fork in his hand","To clear his threshing floor and to gather the wheat into his barn"
3,17,"What will he burn","The chaff"
3,17,"With what will he burn the chaff","Unquenchable fire"
3,18,"With what did he preach good news (to the people)","Many other exhortations"
3,18,"What did he preach","Good news"
3,18,"To whom did he preach good news","The people"
3,19,"Who had been reproved","Herod the tetrarch"
3,19,"For whom had Herod the tetrarch been reproved","Herodias"
3,20,"Whom did he lock up in prison","John"
3,20,"In what did he lock John up","Prison"
3,21,"When were the heavens opened","When all the people were baptized OR When Jesus also had been baptized and was praying"
3,21,"Who were baptized","All the people"
3,21,"What were all the people [OR What had Jesus also been]","Baptized"
3,21,"Who had also been baptized and was praying","Jesus"
3,21,"What were opened","The heavens"
3,22,"Who descended on him in bodily form, like a dove","The Holy Spirit"
3,22,"In what did the Holy Spirit descend on him","Bodily form"
3,22,"Like what did the Holy Spirit descend on him","(A) Dove"
3,22,"What came from heaven","(A) Voice OR “You are my beloved Son; with you I am well pleased”"
3,22,"From where did a voice come","Heaven"
3,22,"Who are you","My beloved Son"
3,22,"What am I","Well pleased (with you)"
3,23,"Who was about thirty years of age","Jesus"
3,23,"When was Jesus about thirty years of age","When he began his ministry"
3,23,"About what was Jesus","Thirty years of age"
4,1,"Who returned from the Jordan [OR Who was led by the Spirit in the Wilderness]","Jesus"
4,1,"From where did Jesus return","The Jordan"
4,1,"By whom was Jesus led","The Spirit"
4,1,"In where was Jesus led","The wilderness"
4,2,"What did he eat","Nothing"
4,2,"During when did he eat nothing","Those days"
4,2,"When was he hungry","When they were ended"
4,2,"What was he","Hungry"
4,3,"Who said","The devil"
4,3,"What did the devil say","“If you are the Son of God, command this stone to become bread”"
4,3,"If what command this stone to become bread","You are the Son of God"
4,3,"Command what to become bread if you are the son of God","This stone"
4,4,"Who answered","Jesus"
4,4,"What did Jesus answer","“It is written, Man shall not live by bread alone”"
4,4,"What is it written","Man shall not live by bread alone"
4,4,"Who shall not live by bread alone","Man"
4,4,"By what shall man not live","Bread alone"
4,5,"Who took him up and showed him all the kingdoms of the world","The devil"
4,5,"What did the devil show him","All the kingdoms of the world"
4,5,"In when did the devil show him all the kingdoms of the world","(A) Moment of time"
4,8,"Who answered","Jesus"
4,8,"What did Jesus answer","“It is written, You shall worship the Lord your God, and him only shall you serve”"
4,8,"What is it written","You shall worship the Lord your God, and him only shall you serve"
4,8,"Whom shall you worship [OR Whom shall you serve]","The Lord your God OR Him only"
4,9,"To where did he take him","Jerusalem"
4,9,"On what did he set him","The pinnacle of the temple"
4,9,"What did he say","“If you are the Son of God, throw yourself down from here”"
4,9,"If what throw yourself down from here","You are the Son of God"
4,10,"What is it written","He will command his angels concerning you, to guard you"
4,10,"Whom will he command","His angels"
4,10,"Why will he command his angels concerning you","To guard you"
4,11,"On what will they bear you up","Their hands"
4,12,"Who answered","Jesus"
4,12,"What did Jesus answer","“It is said, You shall not put the Lord your God to the test”"
4,12,"What is it said","You shall not put the Lord your God to the test"
